ContactID,PrimaryFirstName,PrimaryLastName,PrimaryMiddleInitial,ContactName,PrimaryGender,SSN,SSNFlag,DateOfBirth,DateOfDeath,ActiveFlag,DisbursementEligibilityFlag,ValidFrom
70026,Tara,Sanders,Darren,Tara Darren Sanders,F,916801084,0,1994-03-04,2022-11-13,0,0,10/28/2023 06:41:56.352
70027,Manuel,Adams,Eric,Manuel Eric Adams,M,411441504,0,1966-10-30,2023-05-31,0,0,10/17/2023 14:40:26.288
70028,Roy,Horne,Ashley,Roy Ashley Horne,F,915904188,0,2005-08-15,2023-12-28,0,0,09/17/2023 15:44:06.982
70029,Brian,Barry,Jared,Brian Jared Barry,M,225971461,0,1948-01-02,2023-11-06,0,0,02/12/2024 14:00:40.452
70030,William,Gonzalez,Maria,William Maria Gonzalez,M,869009617,0,1995-05-24,2020-02-26,0,0,02/08/2024 04:27:10.941
70031,Erik,Lam,Daniel,Erik Daniel Lam,M,685029289,0,1980-07-05,2023-09-02,0,0,08/04/2023 10:16:53.649
70032,Jonathan,Holmes,Michelle,Jonathan Michelle Holmes,F,198760246,0,1945-04-26,2023-02-09,0,0,08/28/2023 17:59:48.299
70033,Cole,Cruz,Heidi,Cole Heidi Cruz,M,945074674,0,1980-08-31,2023-09-06,0,0,02/22/2023 18:39:53.377
70034,Loretta,Green,Sarah,Loretta Sarah Green,M,596903869,0,1990-06-13,2021-07-05,0,0,05/25/2023 11:12:12.165
70035,Tyler,Smith,Dennis,Tyler Dennis Smith,F,269718063,0,1989-05-01,2020-01-12,0,0,03/13/2023 15:00:09.315
70036,Lauren,Adams,Kimberly,Lauren Kimberly Adams,F,201355013,0,1990-10-26,2022-10-30,0,0,04/12/2023 08:04:15.493
70037,Joseph,Downs,Renee,Joseph Renee Downs,F,609269952,0,1984-02-12,2020-10-11,0,0,11/03/2023 02:53:50.649
70038,Michael,Dean,Curtis,Michael Curtis Dean,F,411333123,0,1970-11-22,2020-02-13,0,0,09/28/2023 13:50:40.683
70039,Thomas,Garza,Matthew,Thomas Matthew Garza,F,481192973,0,1983-08-26,2021-02-01,0,0,01/14/2023 03:02:18.788
70040,Beverly,Benson,Brooke,Beverly Brooke Benson,M,912002790,0,1946-02-20,2023-10-21,0,0,02/04/2023 18:14:58.860
70041,Stephanie,Davis,Thomas,Stephanie Thomas Davis,M,814486437,0,1959-09-08,2021-02-01,0,0,01/21/2024 06:03:28.270
70042,Joyce,Gates,Ian,Joyce Ian Gates,F,402459557,0,1990-02-26,2023-10-03,0,0,07/03/2023 18:24:01.467
70043,Paul,Wells,Faith,Paul Faith Wells,F,627747974,0,1973-03-26,2020-08-02,0,0,03/11/2024 21:24:35.715
70044,Miguel,Horne,Christy,Miguel Christy Horne,M,593808246,0,1991-07-09,2022-07-19,0,0,04/29/2023 10:07:13.775
70045,Shane,Brown,Dawn,Shane Dawn Brown,F,319497011,0,1978-09-04,2023-09-21,0,0,03/14/2023 08:27:02.513
70046,Crystal,Hudson,Matthew,Crystal Matthew Hudson,F,211753988,0,1950-07-10,2022-04-18,0,0,01/24/2023 06:14:36.758
70047,Timothy,Powell,Johnny,Timothy Johnny Powell,M,465925496,0,1970-01-18,2022-07-28,0,0,05/07/2023 05:52:37.097
70048,David,Callahan,Tammie,David Tammie Callahan,F,555854595,0,1961-01-14,2023-03-20,0,0,12/02/2023 01:34:49.657
70049,Gina,Kent,Larry,Gina Larry Kent,F,498766725,0,1963-12-04,2023-08-10,0,0,02/03/2024 23:50:30.230
70050,Eric,Bartlett,Jennifer,Eric Jennifer Bartlett,M,220548227,0,1986-07-12,2020-02-27,0,0,01/20/2023 18:35:29.194
70051,Christian,Taylor,David,Christian David Taylor,M,354080522,0,1950-02-01,2023-08-18,0,0,03/28/2024 02:38:30.498
70052,Angela,Smith,Kristi,Angela Kristi Smith,F,793398470,0,1989-12-10,2023-05-31,0,0,02/24/2023 19:43:25.877
70053,Michelle,Griffin,Philip,Michelle Philip Griffin,F,598704845,0,1996-02-02,2021-12-21,0,0,05/17/2023 12:28:19.457
70054,Miguel,Fields,Robert,Miguel Robert Fields,F,954749694,0,1970-01-23,2021-12-07,0,0,11/11/2023 00:46:06.317
70055,Autumn,Peters,Anthony,Autumn Anthony Peters,M,789502435,0,1997-12-28,2021-12-03,0,0,03/29/2024 10:35:23.334
70056,Amy,Vaughn,Toni,Amy Toni Vaughn,F,830605005,0,1975-05-02,2022-10-11,0,0,02/13/2024 17:40:34.692
70057,Steven,Shaw,Eric,Steven Eric Shaw,F,439207244,0,1973-02-23,2021-08-31,0,0,03/28/2023 22:52:17.991
70058,Christine,Richardson,Donna,Christine Donna Richardson,M,340315280,0,1950-03-30,2021-12-20,0,0,12/09/2023 00:19:17.514
70059,Michelle,Hurley,Leslie,Michelle Leslie Hurley,F,833371388,0,1946-03-19,2021-12-05,0,0,01/08/2024 01:16:20.583
70060,Michael,Bryant,Anthony,Michael Anthony Bryant,F,677277186,0,1983-08-27,2020-12-29,0,0,06/06/2023 10:27:59.959
70061,Wendy,Walker,James,Wendy James Walker,M,534592544,0,1997-12-08,2023-02-13,0,0,03/31/2024 19:58:10.376
70062,Bryan,Clay,Gerald,Bryan Gerald Clay,M,556984971,0,1951-04-17,2021-05-11,0,0,07/05/2023 01:40:41.794
70063,Latoya,Henderson,Raymond,Latoya Raymond Henderson,M,504047140,0,1998-08-05,2023-09-12,0,0,12/18/2023 14:47:55.560
70064,Peter,Nelson,Kristie,Peter Kristie Nelson,F,770714318,0,1970-08-29,2020-06-21,0,0,01/02/2024 10:58:31.374
70065,Emily,Castillo,Deanna,Emily Deanna Castillo,F,257790895,0,1975-03-27,2020-11-17,0,0,10/06/2023 18:55:30.836
70066,James,Ferguson,Kim,James Kim Ferguson,F,113788945,0,1984-09-21,2021-05-29,0,0,01/18/2024 02:45:25.559
70067,Brad,Gross,Tabitha,Brad Tabitha Gross,F,649088275,0,1969-03-16,2021-03-20,0,0,03/25/2023 17:32:00.630
70068,Wendy,Heath,Gregory,Wendy Gregory Heath,M,598948825,0,1955-09-04,2023-09-09,0,0,08/08/2023 22:38:15.048
70069,Daniel,Landry,Manuel,Daniel Manuel Landry,M,657142607,0,1974-06-16,2022-11-20,0,0,01/02/2024 05:35:26.198
70070,Lauren,Moore,Marvin,Lauren Marvin Moore,M,916949320,0,1985-08-28,2021-10-07,0,0,08/19/2023 17:36:14.019
70071,Brittany,Greene,Samuel,Brittany Samuel Greene,F,976587247,0,1999-07-20,2022-05-26,0,0,03/08/2024 00:45:56.046
70072,Diane,Knight,Andrew,Diane Andrew Knight,F,222556724,0,1961-11-28,2021-02-23,0,0,09/29/2023 08:31:05.892
70073,Veronica,Frederick,Meghan,Veronica Meghan Frederick,F,605926021,0,1974-10-21,2023-06-28,0,0,03/18/2024 21:11:40.989
70074,Elizabeth,Hoffman,Karen,Elizabeth Karen Hoffman,M,530043614,0,1943-05-30,2021-11-27,0,0,12/21/2023 20:07:44.937
70075,Alyssa,Collins,Tami,Alyssa Tami Collins,F,338216505,0,1987-10-23,2020-06-01,0,0,04/23/2023 15:49:14.247
70076,Scott,King,Julie,Scott Julie King,F,517823745,0,1987-02-14,2022-05-21,0,0,01/03/2023 12:34:21.993
70077,Maria,Price,Jennifer,Maria Jennifer Price,F,127985558,0,1956-01-15,2021-10-08,0,0,10/16/2023 01:02:35.052
70078,Patty,Wilson,Derrick,Patty Derrick Wilson,F,536929725,0,2003-09-13,2022-06-10,0,0,04/19/2023 09:18:16.755
70079,Christopher,Williams,Paul,Christopher Paul Williams,M,298613394,0,1982-09-23,2022-02-08,0,0,07/09/2023 08:34:53.555
70080,Carlos,Sanchez,Bryan,Carlos Bryan Sanchez,M,825500954,0,1966-12-19,2023-04-19,0,0,07/25/2023 13:44:40.556
70081,Emily,Thomas,Tyler,Emily Tyler Thomas,F,441457938,0,1950-11-12,2020-05-21,0,0,05/21/2023 11:02:52.253
70082,Amber,Morrow,Jennifer,Amber Jennifer Morrow,M,440345109,0,2005-12-27,2020-05-12,0,0,04/30/2023 04:17:17.288
70083,Jessica,Walsh,Cynthia,Jessica Cynthia Walsh,F,605849964,0,1952-05-28,2020-07-15,0,0,11/30/2023 22:09:00.933
70084,Danny,Diaz,Kenneth,Danny Kenneth Diaz,F,402967401,0,1989-11-24,2020-11-11,0,0,02/24/2024 11:09:42.826
70085,Sydney,Brooks,Sean,Sydney Sean Brooks,M,642547066,0,1983-01-21,2020-08-17,0,0,06/06/2023 05:24:07.732
70086,Harold,Mccoy,Adrian,Harold Adrian Mccoy,F,445520430,0,1956-06-02,2023-05-06,0,0,04/09/2023 01:48:39.448
70087,Laurie,Jackson,Misty,Laurie Misty Jackson,F,531440987,0,1997-09-24,2023-05-15,0,0,06/20/2023 02:00:05.845
70088,Joanna,Jones,David,Joanna David Jones,F,118649766,0,1962-02-06,2022-10-14,0,0,05/04/2023 06:34:27.704
70089,Danielle,Coleman,Daisy,Danielle Daisy Coleman,F,166801046,0,2005-04-01,2023-12-27,0,0,05/22/2023 08:23:38.196
70090,Derek,Patterson,John,Derek John Patterson,M,306039077,0,1966-12-13,2022-01-31,0,0,07/06/2023 23:41:11.394
70091,Melissa,Mejia,Charles,Melissa Charles Mejia,F,629252389,0,1959-09-25,2020-06-23,0,0,03/15/2023 18:35:46.839
70092,Jill,Smith,Matthew,Jill Matthew Smith,M,410719861,0,1962-02-18,2020-10-12,0,0,01/20/2024 12:22:41.077
70093,Jeffrey,Glover,Michael,Jeffrey Michael Glover,M,921337060,0,1992-04-13,2023-11-30,0,0,03/11/2024 02:15:26.615
70094,Jennifer,Hooper,Andrew,Jennifer Andrew Hooper,F,601356854,0,1959-10-30,2021-01-27,0,0,07/09/2023 12:12:49.954
70095,Felicia,Taylor,Karen,Felicia Karen Taylor,F,983906028,0,1995-11-16,2021-04-15,0,0,09/24/2023 18:47:48.980
70096,Melissa,Evans,Mark,Melissa Mark Evans,F,477521054,0,1956-05-18,2021-10-08,0,0,08/04/2023 03:26:40.846
70097,Heather,Smith,Brad,Heather Brad Smith,M,746027191,0,1963-09-14,2021-04-03,0,0,02/10/2023 13:17:33.080
70098,Scott,Hayes,Dawn,Scott Dawn Hayes,F,174980074,0,1947-04-25,2023-11-15,0,0,03/18/2023 11:15:18.473
70099,Drew,Gibson,Jonathan,Drew Jonathan Gibson,F,742005699,0,2004-03-09,2022-12-20,0,0,02/12/2024 05:51:37.808
70100,Jane,Miller,Krista,Jane Krista Miller,M,434534267,0,1947-04-22,2023-03-19,0,0,10/20/2023 18:26:55.910
70101,Jeremy,Glover,Jean,Jeremy Jean Glover,F,649256143,0,1970-12-28,2020-03-21,0,0,12/05/2023 11:20:33.517
70102,Wanda,Zuniga,Christy,Wanda Christy Zuniga,F,891139199,0,1948-01-12,2022-02-12,0,0,12/18/2023 04:55:05.123
70103,Eduardo,Hoover,Jason,Eduardo Jason Hoover,M,722747177,0,1953-03-02,2023-08-11,0,0,07/12/2023 14:07:57.009
70104,Natasha,Mccarthy,Lindsey,Natasha Lindsey Mccarthy,F,191388824,0,1979-09-07,2020-07-03,0,0,09/30/2023 17:06:09.428
70105,Timothy,Page,Jessica,Timothy Jessica Page,F,703278170,0,2004-09-23,2021-08-26,0,0,07/16/2023 09:24:59.028
70106,Victoria,Coleman,Mark,Victoria Mark Coleman,F,106534085,0,1998-06-08,2020-06-02,0,0,03/14/2024 19:40:21.752
70107,Philip,Thomas,Erik,Philip Erik Thomas,F,613237116,0,1996-05-27,2020-05-09,0,0,04/18/2023 22:08:24.940
70108,Travis,Adams,Kenneth,Travis Kenneth Adams,M,321435748,0,1975-10-14,2021-10-22,0,0,08/13/2023 14:51:14.316
70109,Lisa,Castro,Brent,Lisa Brent Castro,F,366253843,0,1952-12-15,2023-12-26,0,0,03/03/2024 06:52:02.796
70110,Rachael,Brooks,Zachary,Rachael Zachary Brooks,M,756301029,0,1945-10-23,2021-01-09,0,0,06/12/2023 21:06:52.630
70111,David,Jones,Sandra,David Sandra Jones,M,794483472,0,2004-10-11,2021-12-13,0,0,10/18/2023 20:37:50.668
70112,Joshua,Drake,Richard,Joshua Richard Drake,F,504283094,0,1973-08-11,2021-01-25,0,0,01/13/2024 02:30:31.163
70113,Mark,Simmons,Kellie,Mark Kellie Simmons,M,776802483,0,1955-02-04,2020-11-01,0,0,05/01/2023 05:04:07.832
70114,Autumn,Rivers,Joseph,Autumn Joseph Rivers,F,446775422,0,1968-11-24,2022-06-09,0,0,07/01/2023 16:08:12.469
70115,Felicia,Smith,Jacqueline,Felicia Jacqueline Smith,M,386714061,0,1990-11-20,2021-08-03,0,0,11/30/2023 19:51:34.696
70116,Joshua,Cooper,John,Joshua John Cooper,F,164527058,0,2004-04-16,2023-02-12,0,0,02/10/2023 08:54:56.016
70117,Christopher,Murphy,Kelly,Christopher Kelly Murphy,M,240115721,0,1953-08-09,2021-02-14,0,0,08/27/2023 20:00:42.238
70118,Zachary,Myers,Rhonda,Zachary Rhonda Myers,M,250804504,0,1946-11-23,2020-12-06,0,0,10/25/2023 18:28:26.605
70119,Bryan,Higgins,Nicole,Bryan Nicole Higgins,M,184902097,0,1987-12-08,2022-05-23,0,0,11/28/2023 04:15:24.370
70120,Thomas,Pham,Amber,Thomas Amber Pham,M,425372249,0,1998-09-16,2021-06-25,0,0,07/25/2023 19:54:28.724
70121,David,Winters,Emily,David Emily Winters,M,186207865,0,1960-10-13,2020-01-20,0,0,04/11/2023 12:22:26.347
70122,Manuel,Madden,Justin,Manuel Justin Madden,M,873333570,0,1965-01-10,2020-10-31,0,0,12/18/2023 19:13:34.977
70123,Kelly,Terrell,Michael,Kelly Michael Terrell,F,372174478,0,1984-02-26,2021-02-15,0,0,01/09/2024 23:14:35.336
70124,John,Howe,David,John David Howe,M,359632300,0,1986-11-08,2020-06-28,0,0,01/04/2023 00:30:10.237
70125,Courtney,Roberts,Wanda,Courtney Wanda Roberts,F,358409190,0,1947-10-04,2022-10-04,0,0,09/03/2023 07:38:54.584
70126,Brian,Munoz,Matthew,Brian Matthew Munoz,F,568789873,0,1996-01-22,2020-10-30,0,0,01/11/2023 03:05:41.736
70127,William,Castaneda,Rachel,William Rachel Castaneda,M,960607924,0,1957-04-26,2020-06-21,0,0,02/09/2024 22:43:54.111
70128,Steven,Peterson,Paula,Steven Paula Peterson,F,960463529,0,1953-12-24,2021-11-04,0,0,02/03/2023 19:35:15.195
70129,Nichole,Williams,Rachael,Nichole Rachael Williams,F,993001424,0,1945-10-05,2023-05-20,0,0,06/29/2023 09:39:29.379
70130,Dwayne,Ayers,Charles,Dwayne Charles Ayers,M,322385067,0,1955-04-06,2023-08-13,0,0,09/05/2023 02:35:18.097
70131,Sarah,Thomas,Jacqueline,Sarah Jacqueline Thomas,M,725831260,0,1988-01-30,2020-10-07,0,0,12/07/2023 02:37:51.902
70132,Jessica,Woods,Gina,Jessica Gina Woods,F,602929668,0,1998-02-13,2023-03-22,0,0,06/13/2023 18:31:56.936
70133,Sherri,Davis,Rachel,Sherri Rachel Davis,M,883480072,0,1973-02-15,2022-06-23,0,0,11/05/2023 06:33:25.292
70134,Johnny,Williams,Anthony,Johnny Anthony Williams,F,570981547,0,1978-08-09,2021-05-18,0,0,02/08/2024 23:45:09.186
70135,Joshua,Berry,Kelly,Joshua Kelly Berry,F,909381595,0,1945-05-11,2023-04-01,0,0,10/05/2023 01:27:02.580
70136,Robert,Lowe,Emily,Robert Emily Lowe,M,209732136,0,1988-02-21,2020-01-08,0,0,02/03/2023 21:08:34.560
70137,Kathy,Smith,Danielle,Kathy Danielle Smith,F,947946726,0,1979-03-12,2021-06-09,0,0,01/22/2024 07:01:34.279
70138,Elizabeth,Torres,Gregory,Elizabeth Gregory Torres,M,483676616,0,1967-03-20,2020-05-24,0,0,03/28/2023 17:27:38.965
70139,Julie,Melendez,Julie,Julie Julie Melendez,F,246817434,0,1988-02-16,2020-09-10,0,0,01/05/2023 00:19:07.138
70140,Robert,Costa,Cynthia,Robert Cynthia Costa,F,347904302,0,1977-10-19,2021-08-01,0,0,03/19/2023 16:53:55.050
70141,Michele,Parker,Felicia,Michele Felicia Parker,F,889440624,0,1984-12-20,2022-04-13,0,0,04/01/2023 01:24:51.092
70142,Douglas,Bishop,Sara,Douglas Sara Bishop,F,231753034,0,1950-09-14,2021-01-12,0,0,05/30/2023 10:24:17.251
70143,Tina,Daniel,Cynthia,Tina Cynthia Daniel,F,192540972,0,1962-10-01,2020-01-05,0,0,06/05/2023 19:38:04.365
70144,Heather,Villa,Michael,Heather Michael Villa,F,300106016,0,1951-05-08,2021-03-15,0,0,05/07/2023 09:12:20.422
70145,Johnathan,Hall,Haley,Johnathan Haley Hall,M,942370537,0,1977-05-07,2020-11-22,0,0,05/29/2023 02:23:10.399
70146,Alisha,Johnson,Cassandra,Alisha Cassandra Johnson,M,567108999,0,1953-01-27,2023-04-24,0,0,02/08/2023 17:44:54.666
70147,Richard,Hutchinson,Harold,Richard Harold Hutchinson,M,786436353,0,1994-04-23,2021-01-20,0,0,02/27/2023 10:09:35.047
70148,Kristen,Allen,Charles,Kristen Charles Allen,F,395552267,0,2004-10-13,2022-02-19,0,0,08/15/2023 02:12:40.585
70149,Stephanie,Gardner,Daniel,Stephanie Daniel Gardner,F,277379081,0,1958-11-12,2020-12-22,0,0,12/12/2023 09:50:06.303
70150,William,Meza,Jason,William Jason Meza,M,344230782,0,1992-10-03,2021-08-13,0,0,06/26/2023 18:48:07.777
70151,Chelsea,Pruitt,Brad,Chelsea Brad Pruitt,M,594809251,0,1958-10-05,2020-01-01,0,0,05/14/2023 07:17:50.748
70152,Sarah,Copeland,Bruce,Sarah Bruce Copeland,M,981031703,0,1992-10-19,2020-01-05,0,0,11/23/2023 03:54:31.472
70153,Bradley,Taylor,Rebecca,Bradley Rebecca Taylor,M,211291021,0,1960-04-29,2021-06-28,0,0,03/26/2024 11:24:57.982
70154,Jason,Green,Robert,Jason Robert Green,M,388493080,0,1977-07-16,2021-07-02,0,0,08/18/2023 01:35:05.060
70155,Jon,Franklin,Adam,Jon Adam Franklin,F,814778505,0,1966-08-29,2021-07-10,0,0,08/17/2023 11:21:36.265
70156,Michael,Allen,Marc,Michael Marc Allen,F,154358384,0,1953-01-09,2022-01-24,0,0,04/10/2023 06:57:02.047
70157,Eric,Brown,Frank,Eric Frank Brown,M,315116854,0,1979-01-22,2020-03-04,0,0,03/27/2024 10:50:54.782
70158,Benjamin,Smith,Lauren,Benjamin Lauren Smith,M,772016041,0,1946-09-27,2022-11-09,0,0,03/31/2024 17:15:17.289
70159,Natasha,Graves,Brittney,Natasha Brittney Graves,M,744141541,0,1970-10-07,2023-05-30,0,0,12/07/2023 04:44:19.468
70160,Madison,Diaz,Natasha,Madison Natasha Diaz,M,282709317,0,1978-10-23,2020-08-23,0,0,02/14/2024 22:30:21.872
70161,Alicia,Clay,Matthew,Alicia Matthew Clay,F,664617850,0,1956-11-26,2020-07-04,0,0,02/12/2023 00:01:33.207
70162,Natalie,Townsend,Daniel,Natalie Daniel Townsend,M,337682367,0,1984-07-21,2023-12-30,0,0,02/29/2024 00:28:50.365
70163,Chad,Caldwell,Jacob,Chad Jacob Caldwell,M,717732612,0,1994-08-04,2020-05-08,0,0,06/02/2023 11:57:43.715
70164,Christina,Martinez,Kristen,Christina Kristen Martinez,M,341059717,0,1952-01-14,2022-01-16,0,0,10/11/2023 18:58:34.497
70165,Cynthia,Kramer,Jennifer,Cynthia Jennifer Kramer,M,638382846,0,1956-05-05,2022-07-10,0,0,01/07/2023 19:08:37.096
70166,Scott,Cook,Michael,Scott Michael Cook,M,781345949,0,1988-03-04,2020-06-17,0,0,03/26/2023 10:46:21.273
70167,Justin,Tyler,Dana,Justin Dana Tyler,F,427064580,0,1983-08-25,2020-03-06,0,0,03/19/2023 01:17:01.279
70168,Nicole,Wilson,David,Nicole David Wilson,M,765581827,0,1985-12-08,2020-08-13,0,0,01/11/2024 23:36:58.846
70169,Steven,Davis,Adam,Steven Adam Davis,F,684610064,0,2003-05-13,2022-10-31,0,0,01/31/2023 11:10:18.640
70170,Lauren,Mendez,Jason,Lauren Jason Mendez,M,701464025,0,1967-09-13,2022-11-03,0,0,06/30/2023 11:47:41.354
70171,Joshua,Reed,Yolanda,Joshua Yolanda Reed,F,386604551,0,1950-08-23,2022-06-16,0,0,07/08/2023 22:37:08.830
70172,Matthew,Carter,Anthony,Matthew Anthony Carter,F,727664041,0,1982-08-06,2021-08-23,0,0,04/10/2023 17:57:46.177
70173,Zachary,Martinez,Brian,Zachary Brian Martinez,F,569518104,0,1951-10-17,2021-06-17,0,0,01/23/2023 20:02:28.307
70174,Sonya,Hernandez,Kathleen,Sonya Kathleen Hernandez,M,399812104,0,1957-05-09,2021-01-06,0,0,09/24/2023 14:10:41.431
70175,Ricky,Kidd,Max,Ricky Max Kidd,M,772856686,0,1979-01-15,2023-12-12,0,0,01/06/2024 16:27:50.812
70176,Scott,Rodriguez,Robert,Scott Robert Rodriguez,M,406194353,0,2004-06-19,2023-01-24,0,0,05/17/2023 10:03:31.942
70177,Sarah,Harris,Brian,Sarah Brian Harris,F,185675764,0,1999-03-28,2020-01-27,0,0,08/22/2023 02:56:13.582
70178,Anthony,West,Richard,Anthony Richard West,M,159432602,0,1966-09-13,2023-12-14,0,0,09/06/2023 17:48:04.580
70179,Sherri,Hanson,Joshua,Sherri Joshua Hanson,F,463593913,0,1981-07-03,2023-02-15,0,0,06/14/2023 04:22:35.959
70180,Jacob,Brooks,Brandon,Jacob Brandon Brooks,F,850244366,0,1995-02-26,2021-09-30,0,0,07/30/2023 19:14:46.688
70181,Cody,Gonzalez,Jamie,Cody Jamie Gonzalez,F,547375278,0,1985-07-29,2023-10-19,0,0,04/02/2023 19:32:37.149
70182,Sheila,Young,Nathan,Sheila Nathan Young,F,822664135,0,2002-03-31,2021-03-03,0,0,02/09/2024 06:47:19.251
70183,Mary,Rivera,Drew,Mary Drew Rivera,M,756932893,0,1997-10-22,2021-09-14,0,0,04/03/2023 23:39:58.716
70184,Lisa,Hart,Michael,Lisa Michael Hart,F,104430567,0,1947-05-13,2021-02-21,0,0,05/13/2023 23:36:42.830
70185,Lauren,Castaneda,Michael,Lauren Michael Castaneda,M,224328361,0,1989-11-29,2022-11-29,0,0,06/30/2023 17:43:39.067
70186,Joseph,White,Katie,Joseph Katie White,F,224576968,0,1997-06-12,2021-11-13,0,0,10/31/2023 18:28:31.846
70187,Sean,Powell,Roger,Sean Roger Powell,M,725601693,0,1951-07-08,2022-02-22,0,0,07/06/2023 03:29:04.340
70188,Crystal,Woodard,Lisa,Crystal Lisa Woodard,F,688294018,0,1974-01-21,2021-08-06,0,0,03/16/2023 04:22:28.999
70189,Kevin,Vargas,Damon,Kevin Damon Vargas,F,736322285,0,1948-05-12,2021-07-17,0,0,02/06/2023 07:16:04.151
70190,Sharon,Osborn,Holly,Sharon Holly Osborn,F,593928764,0,1951-06-06,2021-03-22,0,0,03/09/2023 15:13:24.826
70191,Melissa,Leach,Joel,Melissa Joel Leach,M,157809188,0,1990-03-06,2020-03-24,0,0,03/14/2024 00:46:55.894
70192,Scott,Pittman,Rhonda,Scott Rhonda Pittman,M,702563610,0,1995-02-24,2022-04-26,0,0,12/14/2023 02:52:00.671
70193,Brittany,Adams,Zachary,Brittany Zachary Adams,M,856690016,0,1995-06-10,2023-04-29,0,0,05/31/2023 21:47:20.086
70194,Julia,Singh,Eric,Julia Eric Singh,M,411665904,0,1949-11-16,2020-12-18,0,0,02/19/2023 19:46:39.898
70195,Monica,Clayton,Caleb,Monica Caleb Clayton,M,754419291,0,1991-07-04,2022-08-23,0,0,04/21/2023 22:31:55.908
70196,Norma,Adams,Melissa,Norma Melissa Adams,M,493383101,0,1946-09-01,2022-01-02,0,0,03/15/2024 12:19:57.058
70197,Lisa,Thornton,Abigail,Lisa Abigail Thornton,F,242485487,0,1977-10-31,2023-10-02,0,0,07/14/2023 14:20:03.525
